name,price,image_url,cat_id,cat,rec,restaurant_id
Pizza Water Mimosa and Portobello : พิซซ่ากระเฉด เห็ดพอร์โทเบลโล,371,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Mimosa.jpg,1,Pizza,1,6
Pizza Potato Blue Cheese : พิซซ่ามันฝรั่ง บลูชีส,359,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Blue+Cheese.jpg,1,Pizza,0,6
Pizza Parma Ham and Portobello : พิซซ่าพาร์ม่าแฮมเห็ดพอร์โทเบลโล,419,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Parma+Ham.jpg,1,Pizza,0,6
Pizza Smoked Salmon : พิซซ่าแซลม่อน ชะอม,419,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Smoked+Salmon.jpg,1,Pizza,0,6
Pizza Chilli Sausage : พิซซ่าไส้กรอกพริก,371,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Chilli+Sausage.jpg,1,Pizza,0,6
Pizza Smokey Bcon : พิซซ่าเบคอน,371,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Smoky+Bacon.JPG,1,Pizza,0,6
Pizza Meat Lover : พิซซ่ามีทเลิฟเวอร์,419,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Meat+Lover.jpg,1,Pizza,0,6
Pizza Salami : พิซซ่าซาลามิ,371,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Salami.jpg,1,Pizza,0,6
Pizza Breakfast : พิซซ่าอาหารเช้า,407,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Breakfast.jpg,1,Pizza,0,6
Pizza Vegetables : พิซซ่าแกง ผัก,323,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Pizza+Vegetables.jpg,1,Pizza,0,6
Spaghetti Mimosa : สปาเก็ตตี้กระเฉด,169,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Spaghetti+Mimosa.jpg,2,Spaghetti,1,6
Spaghetti Carbonara : สปาเก็ตตี้คาโบนาร่า,191,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Spaghetti+Carbonara.png,2,Spaghetti,0,6
Spaghetti Chilli Sausage : สปาเก็ตตี้ไส้กรอกพริก,179,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Spaghetti+Chilli+Sausage.png,2,Spaghetti,0,6
Spaghetti Bacon : สปาเก็ตตี้เบคอน,167,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Spaghetti+Aglio+Olio.png,2,Spaghetti,0,6
Spaghetti Smoked Salmon : สปาเก็ตตี้แซลมอนรมควัน,227,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Smoked+Salmon2.png,2,Spaghetti,0,6
Spaghetti Alfredo : สปาเก็ตตี้อัลเฟรโด้,227,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Spaghetti+Alfredo+Truffel.png,2,Spaghetti,0,6
French Fries : เฟรนช์ฟรายส์,95,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/French+Fries_2.JPG,3,Sides,0,6
Chicken Wings 6 pcs : ปีกไก่ 6 ชิ้น,155,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Wing_1.jpg,3,Sides,0,6
Chicken Wings 10 pcs : ปีกไก่ 10 ชิ้น,239,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Wing_1.jpg,3,Sides,0,6
Garden Salad : การ์เดนสลัด,179,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Salad+Garden+Salad.jpg,4,Salad,0,6
Rocket Ham Salad : สลัดร็อกเก็ตแฮม,215,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Salad+Rocket+Ham.jpg,4,Salad,0,6
Salmon Salad : สลัดแซลม่อน,215,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Salad+Salmon.jpg,4,Salad,0,6
Chees Ball Salad : สลัดชีสบอล,215,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/alice/Salad+Chesseball+Rocket.jpg,4,Salad,0,6